2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.249001 [guppy/info] Read '1e0e324f-f518-4ccb-bb2f-25f1444c5e7b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.249023 [guppy/info] Read '1e32faf8-e854-41de-9f19-46df6bab36b1' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.250119 [guppy/info] Read '1ec75c5e-bb35-4037-b232-3b6e1ce32fcc' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.252289 [guppy/info] Read '1edefe65-2cb6-46eb-80d1-038f3f5e9621' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.252314 [guppy/info] Read '1f072075-1a03-43c0-9de9-205b1465733c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.253412 [guppy/info] Read '1f0b0e82-7a2a-45c6-ac24-867b2324813c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.255574 [guppy/info] Read '1f77cc10-172d-403f-95fb-c1dd930d9537' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.255596 [guppy/info] Read '1fa44954-2928-4442-af58-4dcf6991ca83' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.256702 [guppy/info] Read '1fdf864b-e204-426b-9b94-ff194ab7579b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.257801 [guppy/info] Read '2039d13c-6404-47bc-98c1-e92d1f95a6c9' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.258898 [guppy/info] Read '2061deb0-71b4-458a-a5ea-3b1c3d34cdff' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.259995 [guppy/info] Read '20829aa1-b48f-4bfd-a428-49232c05bb8f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.264296 [guppy/info] Read '20e7227a-d31c-4fed-b872-cae4ee75c03a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.264321 [guppy/info] Read '20e8ca75-0cb3-40ac-81a1-d85d66a1167d' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.265412 [guppy/info] Read '210bc5b5-74b3-43b6-afec-335af748a4af' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.267707 [guppy/info] Read '212f08c5-43a3-45b9-8e9b-06428e0b4b81' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.267769 [guppy/info] Read '21d7ec8a-62f1-42bb-ac32-70445dfec61c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.268943 [guppy/info] Read '235d4568-1158-465c-9b0e-0c33a7001428' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.269012 [guppy/info] Read '23c013c4-e9f7-43db-9102-c1d4c01315c5' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.270132 [guppy/info] Read '23f77937-b668-4aa4-94f2-bbf705ef2eef' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.270184 [guppy/info] Read '246389b6-9166-48d2-a153-a29eb815bbd8' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.273433 [guppy/info] Read '24c36cd2-d4c7-4a08-8321-78477be48696' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.273465 [guppy/info] Read '255d4225-9320-4c73-aaf9-e17127f95393' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.276691 [guppy/info] Read '262821f5-81d9-4a31-9a0d-d4393e80ff9b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.276724 [guppy/info] Read '262e7c39-9adf-435b-a54f-261da2c9d76f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.277813 [guppy/info] Read '263f5fec-5a25-4be5-b670-4a92ff1099d1' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.278911 [guppy/info] Read '2648ef0f-e84f-4a42-9803-9542dc8ab4d9' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.278933 [guppy/info] Read '269ad8ac-de6d-4cfe-bab5-f20e97480bf6' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.280027 [guppy/info] Read '2724d7e5-9f7d-45ca-9d67-29d408954cc3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.282195 [guppy/info] Read '2730440b-7ef4-4739-bb19-da83612e41d2' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.282218 [guppy/info] Read '2731848d-aa4d-4437-ac70-1690d49cfe59' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.283314 [guppy/info] Read '2735bb7b-089f-4655-8b2d-edb36212d998' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.285477 [guppy/info] Read '27b7fe3d-61cd-4078-9158-4937b7dc7037' from file "zymo_test_2.fast5" has been loaded.
